spp,x,G,N,time,ext
Species1,1.6168576386137112,32.77336882682243,4.432780182294719e6,0.0,Extant
Species1,1.6237661323565553,33.16548687352365,7.950532403748638e6,0.06065359906613951,Extant
Species1,1.6423122578394378,33.77210748981857,1.4426306135705536e7,0.12430325866809475,Extant
Species1,1.6854819097658373,34.796215412813254,2.6082915949340023e7,0.19100283687787994,Extant
Species1,1.7772279424759903,36.6824866215546,4.675933170616729e7,0.2637159918542609,Extant
Species1,1.982939536489554,40.57358356433242,8.187511957066166e7,0.3487181541542293,Extant
Species1,2.471592461938431,49.36706168220653,1.3292915863041563e8,0.45704368090497033,Extant
Species1,3.495364458100179,67.01888094978867,1.818410416416543e8,0.5907930599771822,Extant
Species1,5.120658198832601,93.6171323035412,2.129420722088524e8,0.7368479155626598,Extant
Species1,7.366751801227691,128.02429881449237,2.304328944169989e8,0.8965182541086584,Extant
Species1,10.348245416198168,170.47316504477413,2.365791520482508e8,1.0859222392965224,Extant
Species1,14.34529756687246,224.12175960176538,2.2833690815575227e8,1.3495337992465533,Extant
Species1,19.911249061289077,301.16211347437104,1.993674910215036e8,1.8928467155243713,Extant
Species1,20.392788241227215,276.2556973553483,2.0423934590586108e8,3.171599845944484,Extant
Species1,17.782704675671575,165.9556263897455,2.958883799877093e8,4.508939580806957,Extant
Species1,16.89452504888274,150.01768907688668,4.5372889633161503e8,6.78569246265092,Extant
Species1,13.244419491548692,306.92268066815024,4.100073057185371e8,9.233251886243893,Extant
Species1,11.177222245677449,391.5866312991833,3.9345446431002635e8,11.07872058447184,Extant
Species1,9.460485806062705,469.11207998032984,3.822748786594964e8,15.851273440773362,Extant
Species1,9.412161816404216,543.7137267777264,3.8305392943160456e8,22.31786573389206,Extant
Species1,9.821499937529268,614.3643451537914,4.136041343630509e8,30.890728568764672,Extant
Species1,9.758625665364658,636.1735740960235,4.3898924489580196e8,41.747006282623374,Extant
Species1,9.294070752058065,641.7746926413855,4.55599870675124e8,53.994521113634256,Extant
Species1,9.063786895054392,618.7955589637403,4.730486810168275e8,73.12261565968328,Extant
Species1,8.663318823754345,483.2231729360261,4.8713112029974836e8,129.1081705752012,Extant
Species1,8.593642787045523,253.09767623152715,4.9139796380053467e8,320.0296068720646,Extant
Species1,8.580185741218328,212.28992513297936,4.9572062878027225e8,552.3178690681976,Extant
Species1,8.580076973909712,206.21410834464166,4.99539456933374e8,781.6080555847753,Extant
Species1,8.597703004034727,202.96077882827808,5.030085181186332e8,1006.280637575784,Extant
Species1,8.612493017044248,200.20900270281066,5.062951811202075e8,1230.8041824791276,Extant
Species1,8.617300136126046,198.1489770262635,5.0852917386163926e8,1450.562514732855,Extant
Species1,8.6153458067947,196.56111915621378,5.10361337362482e8,1664.8596046759735,Extant
Species1,8.603225324007068,194.98708196146865,5.1255564764023364e8,1884.9681436689755,Extant
Species1,8.586364926321476,193.3702354136382,5.1447940976725423e8,2101.620398721575,Extant
Species1,8.58985022499448,192.49448455416248,5.1516871069599223e8,2306.9067317553486,Extant
Species1,8.568113686687003,191.70558889900664,5.162767370141956e8,2513.688752323758,Extant
Species1,8.560672648011623,191.22474691724688,5.1703269404525834e8,2714.7649238504237,Extant
Species1,8.553467559931855,190.26322502582047,5.1846776958664316e8,2921.441380456593,Extant
Species1,8.53854902710988,189.86018446286724,5.1921786073004466e8,3122.972219322391,Extant
Species1,8.522534854563716,189.07665687831386,5.2000383491712296e8,3330.0398747782547,Extant
Species1,8.513741033032504,188.36602288553516,5.2121529914239913e8,3532.8697019014785,Extant
Species1,8.509143810465803,187.77082735108718,5.21828129339187e8,3740.4718295944745,Extant
Species1,8.514692473323478,187.23721791194697,5.226024648011849e8,3944.475342523419,Extant
Species1,8.504916977439846,186.35349109137553,5.2405554342905945e8,4152.1681042432,Extant
Species1,8.495758380581208,185.47571131310335,5.251758480270233e8,4359.465200901608,Extant
Species1,8.498305619922922,184.8389676248232,5.26040933280943e8,4560.665721105351,Extant
Species1,8.491283872838125,184.55362877952476,5.265440997798285e8,4762.462434563986,Extant
Species1,8.484489667747654,183.94972480294354,5.273906848735973e8,4963.1711041797835,Extant
Species1,8.489241175403892,183.56747866745025,5.277902239814887e8,5162.100862777863,Extant
Species1,8.477824986522936,183.14159461372006,5.286925881855736e8,5372.137326380675,Extant
Species1,8.490384872333625,182.68193896713126,5.291164886316833e8,5571.192034638781,Extant
Species1,8.491131898060615,182.16637342042858,5.299198526655795e8,5776.895225263847,Extant
Species1,8.501647456360867,181.74654884521757,5.308279859599027e8,5977.382626787541,Extant
